station,net_node,hour,threshold,nodes_CA,nodes_TCA,reduction_pct
종각,11198015018,6,42.7,1508,1508,0.0
건대입구,2613069963,6,42.7,1123,1123,0.0
가좌,5756085341,6,42.7,950,950,0.0
남영,7836289839,6,42.7,867,867,0.0
대방,4617447369,6,42.7,306,306,0.0
응암,8735757178,6,42.7,2062,2062,0.0
합정,5215341441,6,42.7,1477,1477,0.0
동묘앞,4170064719,6,42.7,1658,1658,0.0
고려대,5404768239,6,42.7,1585,1585,0.0
홍대입구,11841458495,6,42.7,2240,2240,0.0
디지털미디어시티,9891051186,6,42.7,182,182,0.0
선릉,2280678836,6,42.7,766,766,0.0
강남구청,2282830004,6,42.7,911,911,0.0
강남,7168335697,6,42.7,1287,1287,0.0
가락시장,10939998666,6,42.7,266,266,0.0
을지로3가,7694743853,6,42.7,1932,1932,0.0
불광,11228575654,6,42.7,1358,1358,0.0
구의,3958847218,6,42.7,330,330,0.0
강변,1850655113,6,42.7,359,359,0.0
잠실나루,5159105401,6,42.7,251,251,0.0
옥수,3851466435,6,42.7,215,215,0.0
충무로,3846576172,6,42.7,1502,1502,0.0
약수,3846603560,6,42.7,839,839,0.0
교대,3355067052,6,42.7,895,895,0.0
오금,3278844051,6,42.7,992,992,0.0
한양대,8992783196,6,42.7,906,906,0.0
성수,2551966241,6,42.7,805,805,0.0
시청,3404904658,6,42.7,1074,1074,0.0
을지로입구,436830313,6,42.7,1494,1494,0.0
을지로4가,10296582868,6,42.7,1599,1599,0.0
신당,414685846,6,42.7,1733,1733,0.0
상왕십리,11127349744,6,42.7,1796,1796,0.0
신촌,5937884691,6,42.7,2707,2707,0.0
이대,9283138042,6,42.7,1934,1934,0.0
아현,1936511359,6,42.7,1758,1758,0.0
마곡나루,4019735070,6,42.7,568,568,0.0
당산,3216944261,6,42.7,692,692,0.0
문래,11455185928,6,42.7,1223,1223,0.0
신도림,5344219251,6,42.7,229,229,0.0
구로디지털단지,4624772818,6,42.7,665,665,0.0
신대방,4624808762,6,42.7,578,578,0.0
신림,5404739367,6,42.7,1212,1212,0.0
봉천,5404739628,6,42.7,1274,1274,0.0
서울대입구,5406451695,6,42.7,959,959,0.0
낙성대,5406462591,6,42.7,618,618,0.0
방배,8471989456,6,42.7,421,421,0.0
서초,3221788784,6,42.7,652,652,0.0
역삼,2280678732,6,42.7,948,948,0.0
삼성,733859380,6,42.7,606,606,0.0
종합운동장,1430639131,6,42.7,362,362,0.0
잠실새내,2957013438,6,42.7,642,642,0.0
잠실,7877518993,6,42.7,415,415,0.0
양천구청,3380999909,6,42.7,471,471,0.0
신정네거리,9572122970,6,42.7,759,759,0.0
도림천,4630961655,6,42.7,567,567,0.0
경찰병원,1812000920,6,42.7,649,649,0.0
대청,2927282422,6,42.7,495,495,0.0
학여울,4643770712,6,42.7,520,520,0.0
대치,2281644495,6,42.7,618,618,0.0
매봉,5406359683,6,42.7,583,583,0.0
남부터미널,436864976,6,42.7,743,743,0.0
잠원,4634374794,6,42.7,513,513,0.0
신사,8489501829,6,42.7,1026,1026,0.0
압구정,9891581229,6,42.7,1171,1171,0.0
금호,4201516987,6,42.7,552,552,0.0
동대입구,436870722,6,42.7,1131,1131,0.0
경복궁,6033544429,6,42.7,1196,1196,0.0
독립문,13460710395,6,42.7,816,816,0.0
무악재,11296428367,6,42.7,455,455,0.0
홍제,436868050,6,42.7,855,855,0.0
녹번,436867704,6,42.7,786,786,0.0
구파발,8515726110,6,42.7,786,786,0.0
불암산,3841778897,6,42.7,478,478,0.0
쌍문,436836179,6,42.7,1106,1106,0.0
수유,9813541694,6,42.7,1433,1433,0.0
미아,9819314920,6,42.7,1362,1362,0.0
미아사거리,5198597933,6,42.7,1334,1334,0.0
길음,5210130825,6,42.7,921,921,0.0
혜화,2409390726,6,42.7,915,915,0.0
명동,7495868732,6,42.7,1420,1420,0.0
회현,12920546288,6,42.7,1025,1025,0.0
서울역,5348913449,6,42.7,990,990,0.0
숙대입구,2533148374,6,42.7,1017,1017,0.0
신용산,10816047755,6,42.7,445,445,0.0
사당,11521991148,6,42.7,772,772,0.0
남태령,7621561344,6,42.7,140,140,0.0
마천,10277058704,6,42.7,1004,1004,0.0
거여,4489986954,6,42.7,1107,1107,0.0
개롱,12142687377,6,42.7,1146,1146,0.0
방이,2310500979,6,42.7,840,840,0.0
올림픽공원,8493888383,6,42.7,637,637,0.0
둔촌동,4680325914,6,42.7,548,548,0.0
상일동,7106623354,6,42.7,484,484,0.0
고덕,5915757376,6,42.7,713,713,0.0
명일,10009228390,6,42.7,570,570,0.0
굽은다리,3851742835,6,42.7,725,725,0.0
길동,3856135009,6,42.7,792,792,0.0
강동,3856513978,6,42.7,814,814,0.0
광나루,11182352080,6,42.7,452,452,0.0
아차산,2123390941,6,42.7,612,612,0.0
장한평,10708070992,6,42.7,481,481,0.0
답십리,10708182321,6,42.7,295,295,0.0
마장,3832676328,6,42.7,1208,1208,0.0
행당,3833113882,6,42.7,1241,1241,0.0
신금호,3848968727,6,42.7,743,743,0.0
광화문,13971398420,6,42.7,1418,1418,0.0
서대문,445343537,6,42.7,1362,1362,0.0
애오개,13142535285,6,42.7,1849,1849,0.0
공덕,9941864292,6,42.7,1998,1998,0.0
마포,13227969612,6,42.7,1192,1192,0.0
여의나루,355173356,6,42.7,598,598,0.0
여의도,4744225606,6,42.7,421,421,0.0
신길,4529530743,6,42.7,518,518,0.0
영등포시장,355173354,6,42.7,1102,1102,0.0
영등포구청,5215341470,6,42.7,1148,1148,0.0
양평,436860925,6,42.7,708,708,0.0
오목교,2808319707,6,42.7,1088,1088,0.0
목동,13895049012,6,42.7,1061,1061,0.0
신정,2848435510,6,42.7,787,787,0.0
까치산,1906282324,6,42.7,941,941,0.0
화곡,2289350750,6,42.7,1376,1376,0.0
우장산,4706229292,6,42.7,1447,1447,0.0
발산,1791473931,6,42.7,929,929,0.0
마곡,13800646917,6,42.7,593,593,0.0
송정,4602991606,6,42.7,677,677,0.0
개화산,9228947724,6,42.7,593,593,0.0
방화,2702609963,6,42.7,435,435,0.0
봉화산,436834232,6,42.7,477,477,0.0
화랑대,3842209686,6,42.7,904,904,0.0
석계,1795189949,6,42.7,982,982,0.0
돌곶이,3830773366,6,42.7,1397,1397,0.0
상월곡,5219803722,6,42.7,1040,1040,0.0
월곡,5406198806,6,42.7,1159,1159,0.0
안암,7625622864,6,42.7,1804,1804,0.0
창신,1943131791,6,42.7,758,758,0.0
청구,1936511423,6,42.7,1242,1242,0.0
버티고개,3847632030,6,42.7,334,334,0.0
한강진,436868241,6,42.7,569,569,0.0
이태원,2470887090,6,42.7,754,754,0.0
녹사평,2384953064,6,42.7,1040,1040,0.0
효창공원앞,4426288471,6,42.7,1133,1133,0.0
대흥,9987526934,6,42.7,1983,1983,0.0
광흥창,4101356295,6,42.7,1853,1853,0.0
상수,414685238,6,42.7,1337,1337,0.0
망원,445327391,6,42.7,1724,1724,0.0
